,ONS SOC,ONS Title,Display,Exposure,Proximity,RIF,Employment (tot),Employment (m),Employment (f),Median weekly pay,Mean weekly pay,Median weekly pay (m),Mean weekly pay (m),Median weekly pay (f),Mean weekly pay (f),Female percent
62,2442,Social workers,0,37,56,47.460509900337144,104400,22400,82000,698.6,642.4,724.8,733.4,688.9,700.4,0.785440613
63,2443,Probation officers,0,52,57,54.55730931781735,14400,3400,10900,671.1,593.4,658.2,643.6,671.1,681.9,0.756944444
64,2444,Clergy,0,40,55,48.08846015417836,54400,40000,14400,474.8,459.2,479.1,530.3,463.2,579.5,0.264705882
65,2451,Librarians,0,29,52,42.101068870041765,22000,5600,16400,528.9,476.2,648.2,716.1,476.8,557.3,0.745454545
66,2452,Archivists and curators,0,2,44,31.14482300479487,18800,5000,13800,522.6,458.1,416.7,445.7,532.4,564.8,0.734042553
67,2461,Quality control and planning engineers,0,10,62,44.40720662234903,33800,27200,6600,711.3,725.8,733.9,753.6,618.4,678.8,0.195266272
68,2463,Environmental health professionals,0,26,51,40.478389296018186,12500,5500,7000,710.6,673.5,649.5,680.4,723.6,726.8,0.56
69,2471,"Journalists, newspaper and periodical editors",0,9,55,39.40812099047606,80400,49000,31500,662.6,721.7,698.0,839.3,590.2,662.0,0.391791045
70,2472,Public relations professionals,0,4,46,32.64965543462901,58300,21300,37000,593.3,652.6,646.8,779.0,554.7,632.8,0.63464837
71,2473,Advertising accounts managers and creative directors,0,1,46,32.53459696999488,40000,23500,16500,826.3,886.9,955.5,1067.7,694.6,769.0,0.4125
72,3112,Electrical and electronics technicians,0,2,60,42.44997055358225,35900,34100,-1,658.6,666.6,658.6,696.3,546.2,685.1,0.0
73,3113,Engineering technicians,0,3,60,42.47940677551888,103400,97300,6200,642.6,668.4,654.7,699.4,573.0,600.0,0.059961315
74,3114,Building and civil engineering technicians,0,22,57,43.20300915445589,22200,20400,-1,549.0,613.0,572.8,676.1,-1.0,-1.0,0.0
75,3115,Quality assurance technicians,0,0,47,33.23401871576773,34300,21000,13300,519.0,578.5,536.2,598.1,511.3,554.4,0.387755102
76,3116,"Planning, process and production technicians",0,8,57,40.70012284993744,26300,20800,5500,576.0,607.2,591.0,646.9,507.6,549.0,0.209125475
77,3121,Architectural and town planning technicians,0,2,57,40.329889660151565,21900,14700,7300,555.8,534.9,550.8,571.3,563.4,557.7,0.333333333
78,3122,Draughtspersons,0,1,49,34.65544690232691,39000,33700,5300,589.1,614.1,606.7,640.3,546.4,566.2,0.13589743599999998
79,3132,It user support technicians,0,8,64,45.60701700396551,104200,79900,24400,575.9,600.7,584.7,638.5,515.7,569.7,0.234165067
80,3213,Paramedics,0,89,97,93.08598175880189,28000,15000,13000,786.6,757.0,819.1,835.2,754.5,745.5,0.464285714
81,3216,Dispensing opticians,0,40,83,65.14982732133677,5700,-1,3500,480.2,413.3,503.9,535.1,457.6,452.0,0.614035088
82,3217,Pharmaceutical technicians,0,72,83,77.69491617860206,34000,4200,29800,461.1,429.2,449.7,539.6,461.0,485.0,0.876470588
83,3218,Medical and dental technicians,0,72,53,63.21787721839448,44300,17000,27300,572.2,554.2,596.6,630.5,528.5,550.4,0.616252822
